JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459125.366933,12.609,0.016,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.116,Z,,11.213,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.367454,12.604,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.128,Z,,11.211,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.367986,12.603,0.019,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.140,Z,,11.200,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.368507,12.599,0.019,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.152,Z,,11.207,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.369016,12.588,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.164,Z,,11.212,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.369549,12.594,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.177,Z,,11.222,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.370069,12.597,0.016,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.189,Z,,11.206,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.37059,12.591,0.019,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.202,Z,,11.201,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.3711,12.599,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.214,Z,,11.211,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.37162,12.606,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.227,Z,,11.205,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.372141,12.616,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.240,Z,,11.224,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.372662,12.605,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.253,Z,,11.204,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.373183,12.602,0.019,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.267,Z,,11.193,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.373704,12.574,0.020,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.280,Z,,11.201,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.374213,12.592,0.017,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.294,Z,,11.203,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.374734,12.608,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.308,Z,,11.216,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.375266,12.591,0.018,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.322,Z,,11.194,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.375787,12.593,0.020,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.337,Z,,11.217,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.376308,12.593,0.019,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.352,Z,,11.205,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.378565,12.590,0.020,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.416,Z,,11.192,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.379074,12.593,0.021,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.432,Z,,11.199,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.379583,12.604,0.020,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.448,Z,,11.199,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.380116,12.618,0.021,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.464,Z,,11.210,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.380637,12.596,0.019,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.480,Z,,11.195,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.381157,12.609,0.020,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.497,Z,,11.217,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.38169,12.614,0.020,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.514,Z,,11.212,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.382199,12.607,0.020,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.531,Z,,11.220,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.38272,12.616,0.021,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.549,Z,,11.211,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.383252,12.603,0.020,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.566,Z,,11.190,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.383762,12.619,0.019,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.583,Z,,11.218,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.384271,12.607,0.022,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.601,Z,,11.228,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.38478,12.606,0.021,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.619,Z,,11.212,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
2459125.385289,12.618,0.021,,V,DGRA,,ENSEMBLE,3UC140-291804,X25589ATL,,0,2.637,Z,,11.226,,ASASSN-V J181654.06-202117.6,SAAF,STD,,,,
